Model Name,Quantization,Estimated MACC,Estimated RAM Usage (KiB),Estimated Flash Usage (KiB),Estimated Epochs
baseline_conv2d_16f_3x3_int8,INT8,1900560,12.02,0.48,2
baseline_conv2d_1x1_int8,INT8,655392,12.03,0.22,2
baseline_conv2d_32f_5x5_int8,INT8,10092576,12.03,2.47,2
baseline_conv2d_32f_7x7_int8,INT8,19529760,1292.00,4.72,5
baseline_conv2d_3x3_int8,INT8,3801120,12.03,0.97,2
baseline_conv2d_64f_3x3_int8,INT8,7602240,12.06,1.94,2
baseline_conv2d_poll_int8,INT8,1916944,12.02,0.48,2
baseline_depthwise_3x3_int8,INT8,135171,24.00,0.04,3
