Model Name,Layer Type,Filters,Kernel Size,Input Shape,Quantization,MACC,Inference Time (ms),CPU Fallback (%),NPU Allocation (%),RAM Usage (KiB),Flash Usage (KiB),Notes
baseline_conv2d_16f_3x3_int8,Conv2D,16,3x3,64x64x3,INT8,1900560,0.079,0,100,12.02,0.48,1 single hardware epoch
baseline_conv2d_1x1_int8,Conv2D (Pointwise),32,1x1,64x64x3,INT8,655392,0.146,0,100,12.03,0.22,1 single hardware epoch
baseline_conv2d_32f_5x5_int8,Conv2D,32,5x5,64x64x3,INT8,10092576,0.154,0,100,12.03,2.47,1 single hardware epoch
baseline_conv2d_32f_7x7_int8,Conv2D,32,7x7,64x64x3,INT8,19529760,0.462,0,100,1292.00,4.72,Split into 4 hardware epochs
baseline_conv2d_3x3_int8,Conv2D,32,3x3,64x64x3,INT8,3801120,0.147,0,100,12.03,0.97,1 single hardware epoch
baseline_conv2d_64f_3x3_int8,Conv2D,64,3x3,64x64x3,INT8,7602240,0.284,0,100,12.06,1.94,1 single hardware epoch
baseline_conv2d_poll_int8,Conv2D + MaxPool,16,3x3,64x64x3,INT8,1916944,0.080,0,100,12.02,0.48,1 single hardware epoch
baseline_depthwise_3x3_int8,DepthwiseConv2D,3,3x3,64x64x3,INT8,135171,0.042,0,100,24.00,0.04,Split into 2 hardware epochs
